NAME,NORTHING,EASTING,ELEVATION
B-14,251643.72600000000,2346679.32599999988,0.00000000000
B-15,241482.76199999999,2330512.29499999993,0.00000000000
BMU45,311685.52000000002,2304243.06000000006,0.00000000000
CER1,259876.86199999999,2358201.89800000004,0.00000000000
CER15,260287.52299999999,2353877.13700000010,0.00000000000
CGB,249537.74900000001,2336307.99200000009,0.00000000000
COSO1,280355.03999999998,2342341.05099999998,0.00000000000
COSO2,268319.89899999998,2330959.66000000015,0.00000000000
COSO3,266094.39299999998,2349817.61400000006,0.00000000000
CR100,193036.89999999999,2349498.91999999993,0.00000000000
CRJ,262683.50000000000,2363961.64199999999,0.00000000000
CS1,251235.20900000000,2342409.20200000005,0.00000000000
CS10,251560.89400000000,2364359.47000000020,0.00000000000
CS11,247856.19399999999,2365834.23300000001,0.00000000000
CS12,243485.54100000000,2365707.89300000016,0.00000000000
CS13,238617.34099999999,2364606.08999999985,0.00000000000
CS14,234447.00099999999,2346594.13799999980,0.00000000000
CS15,237573.85300000000,2347905.75499999989,0.00000000000
CS16,245372.33499999999,2357740.50900000008,0.00000000000
CS17,247230.08600000001,2354567.37600000016,0.00000000000
CS18,250818.67100000000,2360342.53899999987,0.00000000000
CS19,252272.06599999999,2355426.15799999982,0.00000000000
CS20,249624.16399999999,2350065.36500000022,0.00000000000
CS21,260639.09200000000,2350123.92700000014,0.00000000000
CS22,261876.67000000001,2344933.08000000007,0.00000000000
CS23,258156.42000000001,2343536.74000000022,0.00000000000
CS24,263754.06599999999,2340550.75999999978,0.00000000000
CS25,266954.53300000000,2335681.01500000013,0.00000000000
CS26,265922.60700000002,2328933.89000000013,0.00000000000
CS28,271263.13000000000,2353345.31799999997,0.00000000000
CS29,277565.29300000001,2347700.68600000022,0.00000000000
CS3,269038.19600000000,2368658.61400000006,0.00000000000
CS30,283786.40700000001,2349670.65599999996,0.00000000000
CS31,264065.77200000000,2353638.25199999986,0.00000000000
CS34,258439.36700000000,2372446.76899999985,0.00000000000
CS35,255063.39100000000,2369775.01599999983,0.00000000000
CS36,244051.92999999999,2371084.35300000012,0.00000000000
CS37,244667.42600000001,2373119.10600000015,0.00000000000
CS38,239486.80600000001,2369578.89199999999,0.00000000000
CS4,275241.87099999998,2368131.87999999989,0.00000000000
CS40,291388.47200000001,2344161.27799999993,0.00000000000
CS41,288460.51000000001,2346862.60099999979,0.00000000000
CS42,297588.65899999999,2344098.28200000012,0.00000000000
CS43,273830.58299999998,2340691.27999999980,0.00000000000
CS44,284231.27399999998,2338026.35999999987,0.00000000000
CS45,258843.63600000000,2321964.29900000012,0.00000000000
CS46,250990.06099999999,2328542.75700000022,0.00000000000
CS47,239393.74700000000,2328705.87800000003,0.00000000000
CS48,235252.09099999999,2332327.06399999978,0.00000000000
CS49,232961.52499999999,2328842.26899999985,0.00000000000
CS5,280462.12000000000,2367032.23199999984,0.00000000000
CS50,229753.81500000000,2330377.04699999979,0.00000000000
CS51,225568.31599999999,2334918.81100000022,0.00000000000
CS52,282094.40000000002,2354656.22999999998,0.00000000000
CS53,297315.15700000001,2337296.00000000000,0.00000000000
CS54,296978.70100000000,2332539.74500000011,0.00000000000
CS55,267524.93900000001,2297058.96400000015,0.00000000000
CS57,228473.70600000001,2320282.19499999983,0.00000000000
CS58,245196.72300000000,2317499.31600000011,0.00000000000
CS59,254537.03200000001,2317844.97599999979,0.00000000000
CS6,271193.43800000002,2366057.12800000003,0.00000000000
CS60,249338.78700000001,2301869.77999999980,0.00000000000
CS61,265170.44900000002,2317591.34400000004,0.00000000000
CS62,273437.19199999998,2315497.56399999978,0.00000000000
CS63,213658.21200000000,2361998.17799999984,0.00000000000
CS64,230164.28000000000,2366575.43099999987,0.00000000000
CS65,286209.95400000003,2367419.36299999990,0.00000000000
CS66,263776.98300000001,2336949.33399999980,0.00000000000
CS67,254711.60900000000,2345799.03299999982,0.00000000000
CS68,175190.54999999999,2355752.83000000007,0.00000000000
CS69,183852.81000000000,2353026.45000000019,0.00000000000
CS7,265642.56000000000,2365737.02699999977,0.00000000000
CS72,255112.93799999999,2332748.08000000007,0.00000000000
CS73,291748.19900000002,2309950.87999999989,0.00000000000
CS8,260372.84500000000,2365786.84200000018,0.00000000000
CS9,254974.62400000001,2367031.61700000009,0.00000000000
CSE1,259877.15100000001,2355932.23300000001,0.00000000000
CSE2,257042.35200000001,2356080.57400000002,0.00000000000
CSE3,255279.26199999999,2358864.63200000022,0.00000000000
CSE4,257773.98400000000,2361824.43000000017,0.00000000000
CSE5,249140.37400000001,2358265.95200000005,0.00000000000
CW1B,263550.30300000001,2364362.34500000020,0.00000000000
DOR37,259243.15800000000,2368459.97300000023,0.00000000000
DOR38,261802.63099999999,2371729.98799999990,0.00000000000
DOR39,262388.52000000002,2374135.71600000001,0.00000000000
DOR62,239715.98199999999,2325755.46100000013,0.00000000000
DOR63,239715.98199999999,2325755.46100000013,0.00000000000
DOR64,244121.22500000001,2333920.44499999983,0.00000000000
DOR65,246757.91399999999,2337374.49399999995,0.00000000000
DOR66,249513.87299999999,2340630.94700000016,0.00000000000
DOR68,252682.61199999999,2349993.22200000007,0.00000000000
DOR72,260599.10800000001,2360207.72300000023,0.00000000000
FLR3,187814.73999999999,2369653.87999999989,0.00000000000
HCW4,278796.87800000003,2365142.51699999999,0.00000000000
J204,187970.20000000001,2351544.77000000002,0.00000000000
J214,234135.79399999999,2353066.66200000001,0.00000000000
J217,269270.98999999999,2357231.72699999996,0.00000000000
J4,291915.07500000001,2354046.27699999977,0.00000000000
JOSRIDGE,238369.39900000000,2352775.12600000016,0.00000000000
RE1,260808.16300000000,2351205.50300000003,0.00000000000
RE10,255179.54199999999,2354612.35999999987,0.00000000000
RE11,253605.39799999999,2353106.66200000001,0.00000000000
RE12,247985.36799999999,2352212.53599999985,0.00000000000
RE13,251690.67999999999,2352816.31000000006,0.00000000000
RE14,249717.49700000000,2353008.47800000012,0.00000000000
RE15,245900.66200000001,2352711.09500000020,0.00000000000
RE16,242688.54999999999,2351984.36500000022,0.00000000000
RE17,243691.03099999999,2354640.79000000004,0.00000000000
RE18,249095.28099999999,2354269.00499999989,0.00000000000
RE19,247696.16600000000,2357249.86400000006,0.00000000000
RE2,261927.85300000000,2353497.24000000022,0.00000000000
RE20,245236.10500000001,2358653.98799999990,0.00000000000
RE21,245402.87000000000,2360845.90899999999,0.00000000000
RE22A,245171.77100000001,2356115.00799999991,4308.00000000000
RE24,250589.81899999999,2358963.29300000006,0.00000000000
RE25,250736.59899999999,2362033.77300000004,0.00000000000
RE26,253538.46299999999,2365330.83000000007,0.00000000000
RE27A,254916.08400000000,2363669.07200000016,3719.00000000000
RE28,256222.67199999999,2362286.69700000016,0.00000000000
RE29,253480.76000000001,2362379.59899999993,0.00000000000
RE3,264442.23200000002,2356944.44100000011,0.00000000000
RE30,253617.36499999999,2360442.14300000016,0.00000000000
RE31,253979.81299999999,2357389.58600000013,0.00000000000
RE32,253156.95699999999,2356301.36700000009,0.00000000000
RE33,245057.32600000000,2367251.62099999981,0.00000000000
RE34,251370.15700000001,2354533.67900000000,0.00000000000
RE35,260440.78200000001,2353631.28399999999,0.00000000000
RE36,261092.85900000000,2361813.53299999982,0.00000000000
RE37,257223.65700000001,2358274.01899999985,0.00000000000
RE38,258968.34000000000,2351627.08000000007,0.00000000000
RE39,264326.09000000003,2350722.33000000007,0.00000000000
RE4,259801.59299999999,2357682.92400000012,0.00000000000
RE40,266261.21999999997,2350847.06999999983,0.00000000000
RE5,259480.89000000001,2353796.40100000007,0.00000000000
RE6,258423.28500000000,2354611.21400000015,0.00000000000
RE7,257948.77400000000,2352961.60900000017,0.00000000000
RE8,256865.66300000000,2354115.53399999999,0.00000000000
RE9,255983.23499999999,2357180.67599999998,0.00000000000
S47,203752.84000000000,2327046.27100000018,0.00000000000
SLME,256799.94699999999,2352014.15400000010,0.00000000000
VOLPK,229185.26400000000,2349859.44799999986,0.00000000000
ZAP15,260099.00000000000,2351385.58000000007,0.00000000000
ZAP2,256193.79999999999,2348626.20999999996,0.00000000000
ZAP28,244906.11100000000,2354310.39099999983,0.00000000000
ZAP29,245551.14600000001,2348422.38599999994,0.00000000000
GO21,180763.00000000000,2371658.00000000000,0.00000000000
CS70,253574.00000000000,2363225.00000000000,0.00000000000
CosoABS,0.00000000000,0.00000000000,0.00000000000
